FILE,DS_TCC,DS_CYCLO,DS_CM,DS_NOAM,DS_NOPA,DS_CC,DS_LOCM,DS_NOAV,DS_WMC,DS_ATFD,DS_LOCC,DS_MAXNESTING,DS_WOC
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/LimitationModel.cs_new.cs,4.9E-324,1.0,1.0,2.0,1.0,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.5
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CaseNoteController.cs_new.cs,4.9E-324,13.0,5.0,4.9E-324,4.9E-324,3.0,31.0,11.0,27.0,7.0,115.0,2.0,6.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/NaiscCodeController.cs_new.cs,4.9E-324,4.0,2.0,1.0,4.9E-324,1.0,28.0,8.0,17.0,3.0,96.0,2.0,3.3333333333333335
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/Media.aspx.cs_new.cs,4.9E-324,1.0,4.9E-324,4.9E-324,4.9E-324,4.9E-324,5.0,1.0,1.0,4.9E-324,5.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Utils/TreeItem.cs_new.cs,4.9E-324,4.9E-324,4.9E-324,10.0,5.0,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.9E-324,0.16666666666666666
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Main.Master.cs_new.cs,4.9E-324,2.0,5.0,2.0,4.9E-324,4.9E-324,5.0,4.9E-324,11.0,4.9E-324,37.0,1.0,3.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/RoleModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Case/AddNote.aspx.cs_new.cs,4.9E-324,2.0,1.0,4.9E-324,4.9E-324,4.9E-324,24.0,9.0,9.0,6.0,52.0,1.0,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/BaseController.cs_new.cs,4.9E-324,21.0,121.0,4.9E-324,4.9E-324,33.0,43.0,5.0,32.0,3.0,93.0,2.0,2.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Utils/Email.cs_new.cs,4.9E-324,3.0,4.9E-324,4.9E-324,4.9E-324,4.9E-324,17.0,3.0,3.0,4.9E-324,17.0,2.0,2.0
